stem,outcome
001-fizzbuzz__tyra+spec__claude__s1,pass
002-word-count__tyra+spec__claude__s1,pass
003-option-chain__tyra+spec__claude__s1,pass
004-state-machine__tyra+spec__claude__s1,pass
005-sum-list__tyra+spec__claude__s1,pass
006-factorial__tyra+spec__claude__s1,compile_fail
007-gcd__tyra+spec__claude__s1,pass
008-reverse-string__tyra+spec__claude__s1,pass
009-palindrome__tyra+spec__claude__s1,pass
010-count-vowels__tyra+spec__claude__s1,pass
011-unique-sorted__tyra+spec__claude__s1,pass
012-max-min__tyra+spec__claude__s1,pass
013-parse-int-safe__tyra+spec__claude__s1,pass
014-result-chain__tyra+spec__claude__s1,pass
015-shape-area__tyra+spec__claude__s1,pass
016-expr-eval__tyra+spec__claude__s1,compile_fail
017-key-value-lookup__tyra+spec__claude__s1,pass
018-count-positive__tyra+spec__claude__s1,pass
019-first-non-empty__tyra+spec__claude__s1,pass
020-echo-args__tyra+spec__claude__s1,pass
021-sum-evens__tyra+spec__claude__s1,compile_fail
022-linear-search__tyra+spec__claude__s1,pass
023-repeat-string__tyra+spec__claude__s1,pass
024-uppercase-ascii__tyra+spec__claude__s1,pass
025-average__tyra+spec__claude__s1,pass
026-count-lines__tyra+spec__claude__s1,pass
027-fizzbuzz-string__tyra+spec__claude__s1,pass
028-range-sum__tyra+spec__claude__s1,compile_fail
029-count-word__tyra+spec__claude__s1,pass
030-command-dispatch__tyra+spec__claude__s1,pass
031-nested-option__tyra+spec__claude__s1,pass
032-divide-safe__tyra+spec__claude__s1,pass
033-fib-iterative__tyra+spec__claude__s1,pass
034-group-even-odd__tyra+spec__claude__s1,pass
035-string-length__tyra+spec__claude__s1,pass
036-validate-age__tyra+spec__claude__s1,pass
037-tree-depth__tyra+spec__claude__s1,pass
038-capitalize-words__tyra+spec__claude__s1,exec_fail
039-sum-digits__tyra+spec__claude__s1,pass
040-person-record__tyra+spec__claude__s1,pass
041-sum-pairs__tyra+spec__claude__s1,pass
042-contains-substring__tyra+spec__claude__s1,pass
043-starts-with__tyra+spec__claude__s1,compile_fail
044-key-value-parse__tyra+spec__claude__s1,pass
045-minmax-both__tyra+spec__claude__s1,pass
046-count-true__tyra+spec__claude__s1,pass
047-clamp__tyra+spec__claude__s1,pass
048-join-strings__tyra+spec__claude__s1,pass
049-count-chars__tyra+spec__claude__s1,pass
050-bank-account__tyra+spec__claude__s1,pass
051-list-reverse__tyra+spec__claude__s1,pass
052-three-grade__tyra+spec__claude__s1,pass
053-toggle-case__tyra+spec__claude__s1,check_fail
054-line-numbers__tyra+spec__claude__s1,pass
055-two-sum__tyra+spec__claude__s1,pass
056-cumulative-sum__tyra+spec__claude__s1,pass
057-uniq-adjacent__tyra+spec__claude__s1,pass
058-traffic-transition__tyra+spec__claude__s1,pass
059-is-sorted__tyra+spec__claude__s1,pass
060-shopping-total__tyra+spec__claude__s1,pass
061-power__tyra+spec__claude__s1,pass
062-sum-two-squares__tyra+spec__claude__s1,compile_fail
063-list-sum-until__tyra+spec__claude__s1,pass
064-count-down__tyra+spec__claude__s1,pass
065-list-product__tyra+spec__claude__s1,pass
066-square-list__tyra+spec__claude__s1,pass
067-filter-greater__tyra+spec__claude__s1,pass
068-double-each__tyra+spec__claude__s1,compile_fail
069-max-positive__tyra+spec__claude__s1,pass
070-roman__tyra+spec__claude__s1,pass
071-sum-positive-diff-negative__tyra+spec__claude__s1,pass
072-min-abs__tyra+spec__claude__s1,pass
073-select-even-index__tyra+spec__claude__s1,compile_fail
074-string-chars__tyra+spec__claude__s1,pass
075-order-status__tyra+spec__claude__s1,pass
076-running-max__tyra+spec__claude__s1,compile_fail
077-words-by-length__tyra+spec__claude__s1,compile_fail
078-nested-sum__tyra+spec__claude__s1,pass
079-point-distance__tyra+spec__claude__s1,pass
080-collect-errors__tyra+spec__claude__s1,pass
081-binary-search__tyra+spec__claude__s1,pass
082-insertion-sort__tyra+spec__claude__s1,pass
083-word-frequency__tyra+spec__claude__s1,pass
084-range-stride__tyra+spec__claude__s1,pass
085-rot13__tyra+spec__claude__s1,pass
086-set-intersect__tyra+spec__claude__s1,check_fail
087-set-union__tyra+spec__claude__s1,pass
088-histogram__tyra+spec__claude__s1,compile_fail
089-unique-words__tyra+spec__claude__s1,pass
090-balanced-parens__tyra+spec__claude__s1,pass
091-top-k__tyra+spec__claude__s1,pass
092-matrix-sum__tyra+spec__claude__s1,pass
093-option-map__tyra+spec__claude__s1,pass
094-last-line__tyra+spec__claude__s1,pass
095-flatmap-tokens__tyra+spec__claude__s1,compile_fail
096-rate-limit__tyra+spec__claude__s1,compile_fail
097-sum-skip-negative__tyra+spec__claude__s1,pass
098-tag-length__tyra+spec__claude__s1,pass
099-sum-column__tyra+spec__claude__s1,pass
100-pipeline__tyra+spec__claude__s1,pass
